County,Highest Pollutant,Highest Pollutant Value
Mercer C,O3,4302.47
Monroe C,O3,8745.67
Montgome,O3,3180.3
Morgan C,O3,2478.58
Moultrie,O3,3400.7
Ogle Cou,O3,4072.74
Peoria C,O3,3188.83
Perry Co,O3,3648.23
Piatt Co,O3,3085.62
Pike Cou,O3,2769.86
Pope Cou,O3,4908.01
Pulaski,O3,4399.21
Putnam C,O3,3279.41
Randolph,O3,4840.43
Richland,O3,8838.37
Rock Isl,O3,5016.41
St. Clai,O3,4567.96
Saline C,O3,4804.66
Sangamon,O3,3083.04
Schuyler,O3,3060.99
Scott Co,O3,2642.59
Shelby C,O3,3635.4
Stark Co,O3,3495.38
Stephens,O3,9307.65
Tazewell,O3,3035.35
Union Co,O3,4038.35
Vermilio,O3,3667.4
Wabash C,O3,17863.34
Warren C,O3,3818.23
Washingt,O3,3427.44
Wayne Co,O3,5615.18
White Co,O3,6174.59
Whitesid,O3,4701.36
Will Cou,O3,3732.27
Williams,O3,4360.47
Winnebag,O3,4730.56
Woodford,O3,3155.24
Adams Co,O3,5924.13
Allen Co,O3,5801.75
Bartholo,O3,5080.57
Benton C,O3,4087.2
Blackfor,O3,5676.85
Boone Co,O3,5266.39
Brown Co,O3,5301.17
Carroll,O3,4788.35
Cass Cou,O3,5053.59
Clark Co,O3,5346.74
Clay Cou,O3,5447.04
Clinton,O3,5080.76
Crawford,O3,6432.62
Daviess,O3,11798.09
Dearborn,O3,6092.4
Decatur,O3,5527.95
De Kalb,O3,5941.22
Delaware,O3,5709.91
Dubois C,O3,8436.85
Elkhart,O3,5786.07
Fayette,O3,5913.59
Floyd Co,O3,5504.52
Fountain,O3,4173.29
Franklin,O3,6447.74
Fulton C,O3,5035.41
Gibson C,O3,31472.51
Grant Co,O3,5349.96
Greene C,O3,5547.1
Hamilton,O3,5665.82
Hancock,O3,5649.41
Harrison,O3,5847.69
Hendrick,O3,5186.08
Henry Co,O3,5929.94
Howard C,O3,5174.62
Huntingt,O3,5591.28
Jackson,O3,5447.21
Jasper C,O3,3756.33
Jay Coun,O3,6098.82
Jefferso,O3,4935.19
Jennings,O3,5102.76
Johnson,O3,5288.51
Knox Cou,O3,34830.4
Kosciusk,O3,5419.73
Lagrange,O3,6142.22
Lake Cou,O3,5613.64
La Porte,O3,5525.05
Lawrence,O3,5789.79
Madison,O3,5719.2
Marion C,O3,5358.14
Marshall,O3,5204.73
Martin C,O3,7377.6
Miami Co,O3,5115.89
Monroe C,O3,5322.89
Montgome,O3,4636.68
Morgan C,O3,5298.5
Newton C,O3,3275.84
Noble Co,O3,5669.16
Ohio Cou,O3,4977.27
Orange C,O3,6388.53
Owen Cou,O3,5112.26
Parke Co,O3,4654.41
Perry Co,O3,6822.66
Pike Cou,O3,21750.2
Porter C,O3,5605.05
Posey Co,O3,6411.23
Pulaski,O3,4565.1
Putnam C,O3,4726.03
Randolph,O3,6420.54
Ripley C,O3,5512.73
Rush Cou,O3,5673.71
St. Jose,O3,5737.76
Scott Co,O3,5199.2
Shelby C,O3,5447.7
Spencer,O3,7502.89
Starke C,O3,4656.34
Steuben,O3,6267.73
Sullivan,O3,8436.52
Switzerl,O3,4588.15
Tippecan,O3,4236.27
Tipton C,O3,5377.32
Union Co,O3,7009.31
Vanderbu,O3,5858.59
Vermilli,O3,4372.53
Vigo Cou,O3,5675.27
Wabash C,O3,5291.01
Warren C,O3,3943.9
Warrick,O3,6589.89
Washingt,O3,5437.47
Wayne Co,O3,6462.62
Wells Co,O3,5781.12
White Co,O3,3860.58
Whitley,O3,5666.55
Adair Co,O3,3777.09
Adams Co,O3,3692.48
Allamake,O3,4923.47
Appanoos,O3,3677.75
Audubon,O3,3821.03
Benton C,O3,4703.49
Black Ha,O3,4558.56
Boone Co,O3,4382.79
Bremer C,O3,4605.37
Buchanan,O3,4910.65
Buena Vi,O3,3957.85
Butler C,O3,4227.3
