County,Highest Parts Per Million Value,Highest Parts Per Million
Crawford,11.63,PM2.5
Cumberla,12.19,PM2.5
DeKalb C,12.24,PM10
De Witt,11.97,PM2.5
Douglas,12.06,PM2.5
DuPage C,21.41,PM10
Edgar Co,11.76,PM2.5
Edwards,12.49,PM2.5
Effingha,11.58,PM2.5
Fayette,9.74,PM2.5
Ford Cou,10.53,PM2.5
Franklin,10.16,PM10
Fulton C,12.17,PM10
Gallatin,12.3,PM2.5
Greene C,12.65,PM10
Grundy C,12.6,PM10
Hamilton,11.62,PM2.5
Hancock,14.99,PM10
Hardin C,12.14,PM2.5
Henderso,15.44,PM10
Henry Co,16.46,PM10
Iroquois,10.08,PM2.5
Jackson,13.6,PM10
Jasper C,12.29,PM2.5
Jefferso,9.9,PM2.5
Jersey C,14.64,PM10
Jo Davie,11.98,PM10
Johnson,12.21,PM10
Kane Cou,13.39,PM10
Kankakee,11.34,PM10
Kendall,14.45,PM10
Knox Cou,15.2,PM10
Lake Cou,13.93,PM10
La Salle,17.07,PM10
Lawrence,12.24,PM2.5
Lee Coun,13.09,PM10
Livingst,11.35,PM2.5
Logan Co,11.03,PM2.5
McDonoug,12.34,PM10
McHenry,12.03,PM10
McLean C,11.81,PM2.5
Macon Co,12.97,PM2.5
Macoupin,17.77,PM10
Madison,20.65,PM10
Marion C,9.81,PM2.5
Marshall,16.8,PM10
Mason Co,12.08,PM10
Massac C,14.22,PM10
Menard C,11.85,PM10
Mercer C,22.61,PM10
Monroe C,12.23,PM10
Montgome,12.96,PM10
Morgan C,11.03,PM10
Moultrie,11.5,PM2.5
Ogle Cou,11.57,PM10
Peoria C,18.14,PM10
Perry Co,11.0,PM10
Piatt Co,12.11,PM2.5
Pike Cou,10.1,PM10
Pope Cou,13.01,PM10
Pulaski,10.78,PM2.5
Putnam C,17.43,PM10
Randolph,11.23,PM2.5
Richland,12.42,PM2.5
Rock Isl,23.55,PM10
St. Clai,16.77,PM10
Saline C,11.54,PM2.5
Sangamon,13.32,PM10
Schuyler,10.85,PM10
Scott Co,10.44,PM10
Shelby C,11.26,PM2.5
Stark Co,15.99,PM10
Stephens,11.14,PM10
Tazewell,16.62,PM10
Union Co,11.58,PM10
Vermilio,11.08,PM2.5
Wabash C,12.44,PM2.5
Warren C,15.05,PM10
Washingt,10.39,PM2.5
Wayne Co,12.25,PM2.5
White Co,12.41,PM2.5
Whitesid,15.7,PM10
Will Cou,18.81,PM10
Williams,11.93,PM10
Winnebag,11.75,PM2.5
Woodford,14.92,PM10
Adams Co,13.56,PM10
Allen Co,18.59,PM10
Bartholo,17.75,PM10
Benton C,10.35,PM2.5
Blackfor,12.66,PM10
Boone Co,14.66,PM10
Brown Co,13.89,PM10
Carroll,11.56,PM2.5
Cass Cou,11.68,PM2.5
Clark Co,17.24,PM10
Clay Cou,18.02,PM10
Clinton,11.9,PM2.5
Crawford,15.0,PM10
Daviess,16.51,PM10
Dearborn,12.43,PM10
Decatur,11.65,PM10
De Kalb,16.85,PM10
Delaware,13.78,PM2.5
Dubois C,21.22,PM10
Elkhart,12.76,PM10
Fayette,12.41,PM10
Floyd Co,22.09,PM10
Fountain,11.46,PM2.5
Franklin,11.98,PM10
Fulton C,12.11,PM2.5
Gibson C,14.72,PM10
Grant Co,13.0,PM10
Greene C,13.68,PM10
Hamilton,15.16,PM10
Hancock,15.14,PM10
Harrison,17.02,PM10
Hendrick,16.66,PM10
Henry Co,12.8,PM10
Howard C,14.19,PM2.5
Huntingt,14.56,PM10
Jackson,12.49,PM10
Jasper C,10.74,PM10
Jay Coun,12.56,PM10
Jefferso,10.93,PM10
Jennings,11.81,PM2.5
Johnson,16.83,PM10
Knox Cou,13.4,PM10
Kosciusk,12.42,PM10
Lagrange,13.16,PM10
Lake Cou,17.62,PM10
La Porte,11.81,PM2.5
Lawrence,12.39,PM10
Madison,16.86,PM10
Marion C,21.92,PM10
Marshall,12.02,PM10
Martin C,14.78,PM10
Miami Co,11.85,PM2.5
Monroe C,13.82,PM10
Montgome,12.06,PM10
Morgan C,15.46,PM10
Newton C,9.81,PM2.5
Noble Co,15.49,PM10
Ohio Cou,11.89,PM10
Orange C,13.8,PM10
Owen Cou,16.23,PM10
Parke Co,14.79,PM10
Perry Co,18.45,PM10
Pike Cou,16.83,PM10
Porter C,15.35,PM10
Posey Co,13.45,PM10
Pulaski,10.4,PM2.5
Putnam C,20.99,PM10
Randolph,12.76,PM10
Ripley C,10.74,PM10
Rush Cou,12.44,PM10
St. Jose,16.31,PM10
Scott Co,12.52,PM10
Shelby C,14.29,PM10
Spencer,18.21,PM10
Starke C,10.77,PM2.5
Steuben,13.82,PM10
Sullivan,13.35,PM10
Switzerl,11.11,PM10
Tippecan,12.9,PM2.5
Tipton C,12.81,PM10
Union Co,13.93,PM10
