County,Highest EQI Values,Highest EQI
Marion C,1.513139,Air_EQI
Marshall,1.19431,Land_EQI
Martin C,0.1177573,Air_EQI
Miami Co,0.939716,Water_EQI
Monroe C,1.020132,Air_EQI
Montgome,0.918884,Sociod_EQI
Morgan C,1.246535,Sociod_EQI
Newton C,1.187364,Land_EQI
Noble Co,0.9454662,Water_EQI
Ohio Cou,1.00576,Land_EQI
Orange C,0.8404833,Water_EQI
Owen Cou,0.192356,Sociod_EQI
Parke Co,0.9099893,Water_EQI
Perry Co,0.9333469,Air_EQI
Pike Cou,0.9663625,Land_EQI
Porter C,1.635106,Sociod_EQI
Posey Co,1.053469,Air_EQI
Pulaski,1.183831,Land_EQI
Putnam C,0.9154651,Water_EQI
Randolph,0.9183916,Water_EQI
Ripley C,0.9474361,Sociod_EQI
Rush Cou,0.7984318,Sociod_EQI
St. Jose,1.310708,Air_EQI
Scott Co,1.250317,Land_EQI
Shelby C,1.134384,Sociod_EQI
Spencer,0.8044059,Sociod_EQI
Starke C,1.376222,Land_EQI
Steuben,0.9619919,Sociod_EQI
Sullivan,0.3782809,Land_EQI
Switzerl,0.8698104,Land_EQI
Tippecan,1.427008,Air_EQI
Tipton C,1.403657,Sociod_EQI
Union Co,0.6651667,Sociod_EQI
Vanderbu,1.496347,Air_EQI
Vermilli,0.893436,Water_EQI
Vigo Cou,1.292798,Air_EQI
Wabash C,0.9429302,Air_EQI
Warren C,1.184246,Sociod_EQI
Warrick,1.697245,Sociod_EQI
Washingt,0.8462923,Water_EQI
Wayne Co,0.9532726,Water_EQI
Wells Co,1.3133,Sociod_EQI
White Co,0.8854756,Water_EQI
Whitley,1.401424,Sociod_EQI
Adair Co,0.8399727,Sociod_EQI
Adams Co,1.462249,Built_EQI
Allamake,0.6284574,Land_EQI
Appanoos,0.3403653,Land_EQI
Audubon,0.7774813,Land_EQI
Benton C,1.273843,Sociod_EQI
Black Ha,1.044896,Air_EQI
Boone Co,1.148577,Sociod_EQI
Bremer C,1.178748,Sociod_EQI
Buchanan,0.7190218,Land_EQI
Buena Vi,0.8703821,Land_EQI
